tag;id;titre;url;ancre
dl::perplexite;p08-03;Cross-entropy, entropie, KL;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-03-cross-entropy-entropie-kl.html;
dl::softmax-stabilite;p08-02;Flottants et log-sum-exp;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-02-flottants-lse.html;
dl::vjp;p08-01;Jacobienne, chain rule, backprop;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-01-jacobienne-chain-rule-backprop.html;
ml::arbres;b05;Escalier vs sensible;https://learnings-ek5.pages.dev/sheets/bridges/bridge-05-escalier-vs-sensible.html;
ml::arbres;p03-01;Critère en escalier vs critère sensible;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-01-critere-escalier-vs-sensible.html;
ml::arbres;p07-01;Arbres — impureté, split, profondeur;https://learnings-ek5.pages.dev/sheets/chains/chain-p07-01-arbres-impurete.html;
ml::bagging;b04;La variance d'une moyenne corrélée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-04-variance-moyenne-correlee.html#s3;s3
ml::bagging;p07-02;Bagging et forêt aléatoire — la variance seule;https://learnings-ek5.pages.dev/sheets/chains/chain-p07-02-bagging-rf.html;
ml::biais-variance;b03;Biais et variance partout;https://learnings-ek5.pages.dev/sheets/bridges/bridge-03-biais-variance-partout.html;
ml::biais-variance;p05-03;Régularisation vue en biais-variance, le chemin de λ;https://learnings-ek5.pages.dev/sheets/chains/chain-p05-03-regularisation-biais-variance.html;
ml::biais-variance;p06-01;Biais, variance et bruit;https://learnings-ek5.pages.dev/sheets/chains/chain-p06-01-biais-variance.html;
ml::boosting;b01;Une seule descente;https://learnings-ek5.pages.dev/sheets/bridges/bridge-01-une-seule-descente.html;
