tag;id;titre;url;ancre
ml::regression-lineaire;p05-01;Régression linéaire, OLS, ce que R² ne dit pas;https://learnings-ek5.pages.dev/sheets/chains/chain-p05-01-regression-modele-ols.html;
ml::regression-lineaire;w01-05;La chaîne du test en régression, hypothèse par hypothèse;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-05-chaine-test-regression-hypotheses.html;
ml::regularisation;b03;Biais et variance partout;https://learnings-ek5.pages.dev/sheets/bridges/bridge-03-biais-variance-partout.html;
ml::regularisation;p05-03;Régularisation vue en biais-variance, le chemin de λ;https://learnings-ek5.pages.dev/sheets/chains/chain-p05-03-regularisation-biais-variance.html;
ml::rf-vs-gb;p07-03;Gradient boosting — une descente dans l'espace des fonctions;https://learnings-ek5.pages.dev/sheets/chains/chain-p07-03-boosting.html;
ml::ridge;b06;Convexité et forme fermée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-06-convexite-forme-fermee.html#s2;s2
ml::ridge;p02-02;Du prior à la pénalité;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-02-prior-penalite.html;
ml::ridge;p05-03;Régularisation vue en biais-variance, le chemin de λ;https://learnings-ek5.pages.dev/sheets/chains/chain-p05-03-regularisation-biais-variance.html#s2;s2
ml::roc-auc;p06-03;Seuil, matrice de confusion, ROC, PR;https://learnings-ek5.pages.dev/sheets/chains/chain-p06-03-seuil-roc-pr.html;
ml::seuil;p06-04;Scores, calibration, déséquilibre;https://learnings-ek5.pages.dev/sheets/chains/chain-p06-04-calibration-desequilibre.html;
ml::standardisation;p04-04;PCA, diagonaliser la covariance;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-04-pca.html;
ml::svm;b05;Escalier vs sensible;https://learnings-ek5.pages.dev/sheets/bridges/bridge-05-escalier-vs-sensible.html;
ml::svm;p03-01;Critère en escalier vs critère sensible;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-01-critere-escalier-vs-sensible.html;
ml::validation;b02;Le témoin atteignable;https://learnings-ek5.pages.dev/sheets/bridges/bridge-02-temoin-atteignable.html;
ml::validation;b03;Biais et variance partout;https://learnings-ek5.pages.dev/sheets/bridges/bridge-03-biais-variance-partout.html;
ml::validation;b04;La variance d'une moyenne corrélée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-04-variance-moyenne-correlee.html;
ml::validation;p01-04;Comparer deux modèles, et pourquoi le max ment;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-04-comparer-modeles-multiplicite.html#s7;s7
ml::validation;p06-01;Biais, variance et bruit;https://learnings-ek5.pages.dev/sheets/chains/chain-p06-01-biais-variance.html;
ml::validation;p06-02;Validation croisée, LOOCV et fuite;https://learnings-ek5.pages.dev/sheets/chains/chain-p06-02-cv-leakage.html;
ml::variance-correlee;p07-02;Bagging et forêt aléatoire — la variance seule;https://learnings-ek5.pages.dev/sheets/chains/chain-p07-02-bagging-rf.html;
python::broadcasting;p08-04;Tenseurs : ruban, strides, vue vs copie, broadcasting;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-04-tenseurs-ruban-strides-broadcasting.html#s5;s5
python::dtypes;p08-02;Flottants et log-sum-exp;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-02-flottants-lse.html#s8;s8
